name,address
달서구청,대구 달서구 학산로 45
수성구청,대구 수성구 달구벌대로 2450
무인민원발급창구 달서구청,대구 달서구 학산로 45 1층 현관
무인민원발급창구 구청 민원실,대구 북구 옥산로 65 구청민원실 남문
무인민원발급창구 수성구청민원실,대구 수성구 달구벌대로 2450 수성구청 본관 1층 종합민원실
무인민원발급창구 수성구청민원실등기부,대구 수성구 달구벌대로 2450 수성구청 본관 1층 종합민원실
대구광역시청,대구 중구 공평로 88
대구광역시중구청,대구 중구 국채보상로139길 1
성내1동행정복지센터,대구 중구 동성로3길 87
대현동행정복지센터,대구 북구 대현남로 25
성내2동행정복지센터,대구 중구 달구벌대로415길 48
대봉1동행정복지센터,대구 중구 달구벌대로440길 27
칠성동행정복지센터,대구 북구 칠성로19길 4
대구 디지털산업진흥원,대구 중구 국채보상로 630
삼덕동행정복지센터,대구 중구 달구벌대로447길 72-11
대봉2동행정복지센터,대구 중구 대봉로47길 31
수성4가동행정복지센터,대구 수성구 들안로67길 64
"신천1,2동행정복지센터",대구 동구 국채보상로159길 41
동인동행정복지센터,대구 중구 국채보상로142길 19-5
남산2동행정복지센터,대구 중구 명륜로 27-1
남산1동행정복지센터,대구 중구 2.28길 18-15
수성1가동행정복지센터,대구 수성구 명덕로73길 7
성내3동행정복지센터,대구 중구 서성로13길 32-10
신암2동행정복지센터,대구 동구 신성로 56
이천동행정복지센터,대구 남구 이천로28길 18
침산2동행정복지센터,대구 북구 침산남로 195
신암1동행정복지센터,대구 동구 아양로7길 27
남산3동행정복지센터,대구 중구 남산로4길 70
무인민원발급창구 삼성생명빌딩,대구 중구 달구벌대로 2095 삼성금융프라자 1층
무인민원발급창구 성내1동민원실,대구 중구 동성로3길 87 성내1동주민센터 1층 민원실내
대구광역시북구도시재생지원센터,대구 북구 대현로9길 51 2층
동산동도시재생현장지원센터,대구 중구 국채보상로 515 갑을빌딩 3층
무인민원발급창구 성내2동민원실,대구 중구 달구벌대로415길 48 성내2동주민센터 민원실내
무인민원발급창구 대구시청,대구 중구 공평로 88 시청 1층민원실 입구
무인민원발급창구 경북대학병원,대구 중구 동덕로 130 경대병원 외래접수처 1층 로비내
대구광역시 중구 도심재생문화재단,대구 중구 경상감영길 176
무인민원발급창구 동아마트 수성점,대구 수성구 수성동4가 1090-8 동아마트 수성점 1층 출입구
무인민원발급창구 중구청 무인민원발급기2,대구 중구 국채보상로139길 1 중구청 1층 로비
무인민원발급창구 대봉1동민원실,대구 중구 달구벌대로440길 27 대봉1동주민센터 1층 민원실
무인민원발급창구 대구동산병원,대구 중구 달성로 56 동산병원 1층 외래접수처
무인민원발급창구 중구청,대구 중구 국채보상로139길 1 중구청 1층 로비내
적치장,대구 북구 칠성동2가
KT하치장,대구 남구 이천동
