name,address
서문시장,대구 중구 큰장로26길 65
칠성시장,대구 북구 칠성시장로 28
대구 농수산물도매시장,대구 북구 매천로18길 34
종합수산시장,대구 북구 매천로 63
팔달시장,대구 북구 노원동2가 366
대구평화시장,대구 동구 아양로9길 16-10
봉덕신시장,대구 남구 봉덕로 115
동구시장,대구 동구 화랑로25길 1
방촌시장,대구 동구 동촌로46길 2
서부시장,대구 서구 국채보상로75길 33-1
와룡시장,대구 달서구 신당동 1750
성당시장,대구 남구 성당로 196
월배시장,대구 달서구 월배로24길 13
남문시장,대구 중구 중앙대로 307-22
대명시장,대구 남구 명덕로14길 16
관문시장,대구 남구 대명동 1135-4
서문시장 2지구,대구 중구 큰장로26길 25
방천시장,대구 중구 대봉동 654-1
수성시장,대구 수성구 들안로 285-50
동대구시장,대구 북구 대현로20길 30
산격종합시장,대구 북구 대동로1길 34
불로전통시장,대구 동구 불로동 449-1
현풍백년도깨비시장,대구 달성군 현풍읍 현풍로6길 5
대평리시장,대구 서구 문화로49길 25
지산목련시장,대구 수성구 용학로42길 9
교동시장,대구 중구 교동길 31
서문시장 야시장,대구 중구 대신동 115-38
달서종합시장,대구 달서구 당산로 35
화원시장,대구 달성군 화원읍 비슬로512길 66
번개시장,대구 중구 태평로 177-2
번개시장,대구 중구 태평로 177-2
신매시장,대구 수성구 신매동 575-4
송라시장,대구 동구 동부로 21
대구신화수산시장,대구 북구 매천로 63
칠곡정기시장,대구 북구 칠곡중앙대로 526
청구시장,대구 수성구 만촌로 66
원대신시장,대구 서구 달서로54길 6
반야월종합시장,대구 동구 율하동로 143
중리시장,대구 서구 국채보상로31길 12
상동시장,대구 수성구 상화로 21-1
용산종합큰시장,대구 달서구 달구벌대로301길 187-11
송현시장,대구 달서구 송현동3길 2
매천수산시장,대구 북구 매천로 63
이현시장,대구 서구 평리동 573-4
동대구역전시장,대구 동구 동부로16길
공항시장,대구 동구 지저동 671-6
대구약령시장,대구 중구 남성로 158-1
동서시장,대구 동구 신암동 105-10
신평리시장,대구 서구 평리동 1621-19
서대구시장,대구 달서구 명덕로2길 30
새길시장,대구 서구 달서로4길 17-7
팔달신시장,대구 북구 팔달로33길 55
영선시장,대구 남구 대명동 2321-1
수성현대시장,대구 수성구 신천동로 280
두류종합시장,대구 달서구 당산동길 9
달서시장,대구 달서구 감삼길 79
서문시장 4지구,대구 중구 큰장로28길 28
성서종합시장,대구 달서구 서당로7길 8
서문시장 5지구종합상가,대구 중구 큰장로26길 6
침산골목시장,대구 북구 침산남로7길 12
서구시장,대구 서구 국채보상로45길 33
한약재도매시장,대구 중구 달구벌대로415길 49 1층
서남신시장,대구 달서구 달구벌대로329길 10
원고개 시장,대구 서구 북비산로65길 9-11
관음시장,대구 북구 관음동로 131
염매시장,대구 중구 남성로 48
두류종합시장 상인회,대구 달서구 당산동길 9 3층
