name,address
김광석다시그리기길,대구 중구 대봉동
안지랑곱창골목,대구 남구 대명동
평화시장닭똥집골목,대구 동구 신암1동
복현오거리막창골목,대구 북구 복현동
앞산카페거리,대구 남구 대명남로 191
동인동찜갈비골목,대구 중구 동덕로36길 9-17
대구약령시문화거리,대구 중구 남성로 158-1
북성로 연탄불고기골목,대구 중구 달성로22길 88
반고개무침회골목,대구 서구 내당동 1257-32
장기동 먹거리촌,대구 달서구 장기동 822-15
동성로,대구 중구 동성로2가 187-1
봉산문화거리,대구 중구 봉산동
범어로데오타운,대구 수성구 달구벌대로 2520
서부정류장막창골목,대구 남구 대명동
대구진골목,대구 중구 중앙대로 403
봉리단길,대구 중구 대봉동
북문로데오거리,대구 북구 대학로15길 7
교동귀금속거리,대구 중구 용덕동
오토바이골목,대구 중구 인교동
통신골목,대구 중구 봉산동 261
남산자동차골목,대구 중구 남산동
야시골목,대구 중구 삼덕동1가
대구수제화골목,대구 중구 향촌동 9-2
대명공연문화거리,대구 남구 명덕로 186
프랜차이즈특화거리,대구 서구 국채보상로75길 25-1
용연사벚꽃길,대구 달성군 옥포읍 기세리
2030골목,대구 중구 동성로3길 32-16
북성공구골목,대구 중구 태평로3가
퀸스로드패션타운,대구 서구 중리동 1136-163
들안길먹거리타운,대구 수성구 두산동 967-1
안경거리,대구 북구 노원동3가
화원미나리단지,대구 달성군 화원읍 명곡리 503
닭똥집원조골목 평화시장,대구 동구 아양로 53
교동전자거리,대구 중구 문화동 2-7
웨딩거리,대구 중구 대봉동
곱창골목,대구 남구 대명동
인쇄골목,대구 중구 남산동
앞산맛둘레길,대구 남구 앞산순환로 411
미싱골목,대구 중구 대신동 69-11
양말골목,대구 중구 대신동
대구약전골목,대구 중구 남성로 158-1
이천동고미술품거리,대구 남구 이천로27길 5
봉산가구거리,대구 중구 이천로 220
교동먹거리타운,대구 중구 교동
가창우록리 먹거리마을,대구 달성군 가창면 우록1길 20-18
중리동곱창마을,대구 서구 와룡로66길 57
달창지길,대구 달성군 유가읍 한정리
한미친화의거리,대구 남구 봉덕동 664-1
돼지골목,대구 중구 서성로1가
대구산업공구골목,대구 중구 인교동
닭똥집명물거리,대구 동구 신암동 597
수성방갈로,대구 수성구 두산동
떡전골목,대구 중구 계산동2가 263-5
타올거리,대구 중구 동산동 44
헌책방거리,대구 중구 남산동
피어나길,대구 중구 종로 49-1
큰장길침구류 명물거리,대구 서구 내당동
이인성사과나무거리,대구 북구 산격동 468-1
공구상골목,대구 중구 서성로13길 79
감자탕골목,대구 동구 해동로 54
호프골목,대구 중구 공평동
금은방골목,대구 중구 대신동
시인의길,대구 동구 도학동
순종어가길,대구 중구 달성로22길 51
아양아트센터 만남의광장,대구 동구 효동로2길 24
티켓아이원,대구 수성구 들안로 49
에움아리길,대구 수성구 만촌동 658-5
구암마을동화천변길,대구 동구 미대동 460-1
이월드,대구 달서구 두류동 산 192-1
네이처파크 스파밸리,대구 달성군 가창면 가창로 891
에코테마파크 대구숲,대구 달성군 가창면 용계리 545
대구시민안전테마파크,대구 동구 팔공산로 1155
고산골공룡공원,대구 남구 용두2길 43
아이니테마파크,대구 수성구 유니버시아드로 140 스타디움몰 지하1층
수성 아르떼랜드,대구 수성구 용학로 35-5
땅땅랜드 치킨체험테마파크,대구 동구 팔공로 220-2
스파밸리,대구 달성군 가창면 가창로 891
힐크레스트 에코어드벤처,대구 달성군 가창면 가창로 1003
히어로키즈파크 대구점,대구 수성구 유니버시아드로 140 키테넌트1호
스파밸리 워터슬라이드,대구 달성군 가창면 가창로 891
공룡공원,대구 남구 봉덕동 산 33-9
이월드 진입광장,대구 달서구 두류동 159-20
동촌파크광장 놀이공원,대구 동구 효동로2길 56
이월드 바이킹,대구 달서구 두류공원로 200
