name,dong,lon,lat,in,out
불로전통시장앞,불로.봉무동,128.641095,35.91063166666667,164855.0,61525.0
불로전통시장건너,불로.봉무동,128.64094500000002,35.9106,428472.0,38380.0
불로동고분군앞,불로.봉무동,128.6412378,35.914597349999994,63059.0,33949.0
불로동고분군건너,불로.봉무동,128.64098928333334,35.91508831666667,177808.0,40995.0
봉무청구새들마을앞,불로.봉무동,128.64190171666667,35.92996555,22075.0,11811.0
봉무청구새들마을건너,불로.봉무동,128.64173333333332,35.93007333333333,133062.0,21074.0
파군재삼거리2,불로.봉무동,128.643845,35.934009999999994,41954.0,16921.0
파군재삼거리1,불로.봉무동,128.64351333333335,35.93584,13231.0,34403.0
대구중앙중고등학교건너,신천1.2동,128.6167431166667,35.868084033333346,338079.0,48599.0
대구중앙중고등학교앞,수성4가동,128.61655843333335,35.86786883333333,315623.0,61955.0
청구고등학교앞,신천3동,128.62190348333334,35.867576099999994,215513.0,39227.0
청구고등학교건너,범어3동,128.62363,35.86711500000001,144610.0,25962.0
한국건강관리협회앞,신천3동,128.62328166666666,35.86900666666667,86074.0,6703.0
청기와주유소건너,효목1동,128.64835666666667,35.878025,150231.0,25464.0
효목네거리3,효목1동,128.64633166666667,35.87727333333333,82779.0,42612.0
우방만촌하이츠건너,신천4동,128.63137333333333,35.868718333333334,33580.0,19479.0
구.동부정류장(메트로팔레스),만촌1동,128.63293833333333,35.87013333333333,135236.0,51059.0
코오롱아파트,신천4동,128.63234666666668,35.869836666666664,181410.0,26216.0
수성도서관앞,만촌1동,128.63806000000002,35.872733333333336,76543.0,26297.0
수성도서관건너,효목2동,128.63789333333335,35.87289333333333,118429.0,27453.0
한전동대구지사건너,만촌1동,128.64116,35.874241666666656,180377.0,39207.0
한전동대구지사,효목2동,128.641147,35.87447891666667,270539.0,55993.0
동구시장앞,효목2동,128.63932166666666,35.87409,94006.0,16601.0
동구시장건너,효목2동,128.639295,35.874296666666666,80854.0,19605.0
구)효목2동행정복지센터건너,효목2동,128.63918716666666,35.87754888333333,159107.0,12929.0
구)효목2동행정복지센터앞,효목2동,128.6387763333333,35.87761618333333,73400.0,20265.0
구.동부정류장앞,신천4동,128.63447499999998,35.87409333333333,76657.0,53225.0
구.동부정류장건너,효목2동,128.63460666666666,35.873956666666665,136721.0,16632.0
영남일보건너,신천4동,128.6264777,35.869108783333346,34759.0,10762.0
