name,address
경북대학교병원,대구 중구 동덕로 130
영남대학교병원,대구 남구 현충로 170
대구 가톨릭대학교병원,대구 남구 두류공원로17길 33
계명대학교 동산병원,대구 달서구 달구벌대로 1035
칠곡경북대학교병원,대구 북구 호국로 807
대구가톨릭대학교 칠곡가톨릭병원,대구 북구 칠곡중앙대로 440
대구보건대학교병원,대구 북구 팔거천동로 209
계명대학교 대구동산병원,대구 중구 달성로 56
경북대학교치과병원,대구 중구 달구벌대로 2175
대구가톨릭 대학교병원 장례식장,대구 남구 두류공원로17길 33
영남대학교병원 장례식장,대구 남구 현충로 170
경북대학교병원 장례식장,대구 중구 동덕로 130
대구한의대학교부속 대구한방병원,대구 수성구 신천동로 136
칠곡경북대학교병원 장례식장,대구 북구 호국로 807
계명대학교 동산병원 백합원,대구 달서구 달구벌대로 1095
계명대학교 대구동산병원 산부인과,대구 중구 달성로 56
계명대학교동산병원 새마을금고 본점,대구 달서구 달구벌대로 1035
경북대학교병원 대구권역응급의료센터,대구 중구 동덕로 130
경북대학교병원새마을금고 칠곡병원지점,대구 북구 호국로 807 경북대학교병원새마을금고
계명대학교 동산병원 암치유센터,대구 달서구 달구벌대로 1035
계명대학교 대구동산병원 장례식장,대구 중구 달성로 56
경북대학교병원 주차장,대구 중구 동덕로 130
경북대학교병원새마을금고 본점,대구 중구 동덕로 130
칠곡경북대학교병원 대장암센터,대구 북구 호국로 807
칠곡경북대학교병원 어린이병원,대구 북구 호국로 807
계명대학교 대구동산병원 응급의료센터,대구 중구 달성로 56
경북대학교병원 정문,대구 중구 삼덕동2가
대구 가톨릭대학교병원 응급의료센터,대구 남구 두류공원로17길 33
영남대학교병원 권역호흡기전문질환센터,대구 남구 현충로 170
대구가톨릭대학교 칠곡가톨릭병원 응급실,대구 북구 칠곡중앙대로 440
경북대학교병원 모발이식센터,대구 중구 국채보상로 611
대구가톨릭대학병원 소아청소년과,대구 남구 두류공원로17길 33
대구가톨릭 대학교병원 스텔라관,대구 남구 두류공원로17길 33
계명대학교 대구동산병원 구관,대구 중구 달성로 56
영남대학교병원 안과,대구 남구 현충로 170
계명대학교 동산병원 수면클리닉,대구 달서구 달구벌대로 1035
대구가톨릭대학교병원 데레사관,대구 남구 대명동 산 334
계명대학교 대구동산병원 주차장1,대구 중구 달성로 56
칠곡경북대학교병원 주차장,대구 북구 학정동 474-12
계명대학교 동산병원 국제의료센터,대구 달서구 달구벌대로 1035
경북대학교병원 주차장2,대구 중구 삼덕동2가 309-5
경북대학교 수의과대학부속동물병원,대구 북구 대학로 80
계명대학교 대구동산병원 주차장3,대구 중구 달구벌대로 2029
경북대학교병원 주차장3,대구 중구 동덕로 130
칠곡경북대학교병원어린이집,대구 북구 호국로 807-3
대구 가톨릭대학교병원 피부과,대구 남구 두류공원로17길 33
대구가톨릭대학교 칠곡카톨릭병원 신체검사실,대구 북구 칠곡중앙대로 440
대구 가톨릭대학교병원 이비인후과,대구 남구 두류공원로17길 33
계명대학교 대구동산병원 남문,대구 중구 동산동 424
경북대학교병원 건강증진센터,대구 중구 동덕로 130 외래진료동 10층
경북대학교병원(장의),대구 중구 동덕로 130
계명대학교 대구동산병원 주차장2,대구 중구 달성로 56
계명대학교 대구동산병원 별관,대구 중구 달성로 56
경북대학교병원 안과,대구 중구 동덕로 130
대구가톨릭대학교병원 주차장1,대구 남구 대명복개로 155
영남대학교병원 장례식장매점,대구 남구 현충로 170
계명대학교 대구동산병원 신경과,대구 중구 달성로 56
영남대학교병원 노동조합,대구 남구 현충로 170
칠곡경북대학교병원 본관,대구 북구 호국로 807
대구 가톨릭대학교병원 라파엘관,대구 남구 두류공원로17길 33
대구 가톨릭대학교병원 루가관,대구 남구 대명동 3056-25
대구가톨릭대학교병원 노동조합,대구 남구 두류공원로17길 33
대구한의대학교 대구한방병원 한방신경정신과,대구 수성구 신천동로 136
대구가톨릭대학교병원 정형외과,대구 남구 두류공원로17길 33
계명대학교동산병원 어린이집,대구 달서구 달구벌대로 1035
영남대학교병원 이비인후과,대구 남구 현충로 170
영남대학교병원 응급의료센터,대구 남구 현충로 170
계명대학교 대구동산병원 이비인후과,대구 중구 달성로 56
경북대학교병원어린이집,대구 중구 국채보상로140길 24-7
대구 가톨릭대학교병원 마리아관,대구 남구 두류공원로17길 33
영남대학교병원 피부과,대구 남구 현충로 170
대구가톨릭대학교병원 신경과,대구 남구 두류공원로17길 33
계명대학교 대구동산병원 신경외과,대구 중구 달성로 56
대구가톨릭대학교병원 암장기이식센터,대구 남구 두류공원로17길 33
대구가톨릭대학교 칠곡가톨릭병원 외래접수수납,대구 북구 칠곡중앙대로 440 2층
칠곡경북대학교병원 의생명과학관2호관,대구 북구 칠곡중앙대로136길 90
계명대학교 대구동산병원 대장항문외과,대구 중구 달성로 56
대구 가톨릭대학교병원 신경외과,대구 남구 두류공원로17길 33
대구한의대학교부속 대구한방병원 안이비인후피부과,대구 수성구 신천동로 136
영남대학교병원 치과,대구 남구 현충로 170
영남대학교병원 정형외과,대구 남구 현충로 170
대구가톨릭대학교병원 비뇨기과,대구 남구 두류공원로17길 33
대구가톨릭대학교병원 산부인과,대구 남구 두류공원로17길 33 스텔라관 9층
경북대학교병원 생명의학연구소,대구 중구 동덕로 135
영남대학교병원 재활의학과,대구 남구 현충로 170
경북대학교병원 동창회장학회,대구 중구 국채보상로 680
영남대학교병원 신경외과,대구 남구 현충로 170
계명대학교 대구동산병원 비뇨기과,대구 중구 달성로 56
계명대학교 대구동산병원 안과,대구 중구 달성로 56
가톨릭대학병원 성형외과,대구 남구 두류공원로17길 33
대구가톨릭의과대학병원 전기차충전소,대구 남구 두류공원로17길 33
영남대학교병원 흉부외과,대구 남구 현충로 170
대구보건대학교병원 매점,대구 북구 동천로23길 30-3
대구가톨릭대학교병원 의과대학연구동,대구 남구 두류공원로17길 33
계명대학교 대구동산병원 정형외과,대구 중구 달성로 56
영남대학교의료원 일반외과소아외과,대구 남구 현충로 170
영남대학교병원 산부인과,대구 남구 현충로 170
영남대학교병원 신경정신과,대구 남구 현충로 170
계명대학교 대구동산병원 심장내과,대구 중구 달성로 56
경북대학교병원 권역심뇌혈관질환센터,대구 중구 동덕로 130
영남대학교병원 소아과,대구 남구 현충로 170
영남대학교병원 성형외과,대구 남구 현충로 170
영남대학교병원 비뇨기과,대구 남구 현충로 170
계명대학교 대구동산병원 재활의학과,대구 중구 달성로 56
