name,address
CGV 대구점,대구 중구 국채보상로 585 5~9층
CGV 대구한일점,대구 중구 동성로 39 씨네시티한일 7층
CGV 대구월성점,대구 달서구 조암로 29 이래타워 4층
CGV 대구스타디움점,대구 수성구 유니버시아드로 140
CGV 대구아카데미점,대구 중구 중앙대로 412
CGV 대구이시아점,대구 동구 팔공로49길 16 롯데몰 3층
CGV 대구칠곡점,대구 북구 동암로 90 5층
CGV 대구현대점,대구 중구 달구벌대로 2077 지하2층
CGV 대구수성점,대구 수성구 지범로 191 동아백화점 8층
메가박스 대구점,대구 북구 침산로 93 스펙트럼시티 4층
메가박스 대구이시아점,대구 동구 팔공로49길 51 메가맥스타워 2층
메가박스 대구신세계점,"대구 동구 동부로 149 8,9층"
메가박스 북대구점,대구 북구 동암로 100 5층
롯데시네마 프리미엄만경,대구 중구 국채보상로 547
롯데시네마 동성로,대구 중구 동성로2길 95
롯데시네마 대구광장,대구 서구 달구벌대로 1691 M프라자 4층
롯데시네마 상인,대구 달서구 월곡로 247
롯데시네마 성서,대구 달서구 성서로 414
롯데시네마 프리미엄칠곡,대구 북구 학정로 422 태을빌딩 5층
롯데시네마 대구현풍,대구 달성군 현풍읍 테크노상업로 62 센터빌타워 4층
롯데시네마 율하,대구 동구 안심로 80
