name,address
스타벅스 동성로중앙점,대구 중구 동성로5길 38
스타벅스 수성레이크점,대구 수성구 수성못길 4
스타벅스 대구수성호수R점,대구 수성구 용학로 56
스타벅스 대구팔공산점,대구 동구 파계로 650
스타벅스 대구중동DT점,대구 수성구 수성로 243
스타벅스 대구그랜드호텔R점,대구 수성구 동대구로 305
스타벅스 동대구로DT,대구 동구 동대구로 422
스타벅스 대구칠성DT점,대구 북구 중앙대로 524
스타벅스 대구공평DT점,대구 중구 국채보상로 642
스타벅스 대구만촌DT점,대구 수성구 달구벌대로 2636
스타벅스 대구두류DT점,"대구 달서구 달구벌대로 1796 1층,2층"
스타벅스 대구수성네거리DT점,대구 수성구 들안로 342
스타벅스 대구동촌유원지점,"대구 동구 효동로2길 45 1,2층"
스타벅스 동대구터미널점,대구 동구 동부로30길 12
스타벅스 대구평리DT점,대구 서구 서대구로 89
스타벅스 대구중앙로역점,대구 중구 국채보상로 582 미도빌딩 103호
스타벅스 대구성서IC DT점,대구 달서구 달구벌대로 1393
스타벅스 대구칠곡대로DT점,대구 북구 칠곡중앙대로 348-1
스타벅스 대구유통단지점,대구 북구 유통단지로8길 78
스타벅스 대구죽전역점,대구 달서구 와룡로 169 107~110호
스타벅스 대구중동네거리DT점,대구 수성구 청수로 51
스타벅스 대구감삼DT점,대구 달서구 와룡로 131 1층~3층
스타벅스 대구침산DT점,대구 북구 침산로 126
스타벅스 대구월성점,대구 달서구 조암로 41
스타벅스 대구수성동점,대구 수성구 명덕로 460
스타벅스 대구수목원점,대구 달서구 화암로 379
스타벅스 대구봉무점,대구 동구 팔공로51길 15-11
스타벅스 대구상인역점,대구 달서구 월배로 210
스타벅스 대구시지점,"대구 수성구 달구벌대로 3216 1층,2층"
스타벅스 대구월곡DT점,대구 달서구 월곡로 225
스타벅스 대구테크노폴리스점,대구 달성군 유가읍 테크노상업로 84
스타벅스 대구서부정류장역점,대구 달서구 구마로 265
스타벅스 대구진천역점,대구 달서구 진천동 581-1
스타벅스 대구성서점,대구 달서구 이곡공원로 26 이곡메디빌딩
스타벅스 대구중앙로점,대구 중구 남성로 61
스타벅스 대구칠곡점,대구 북구 학정로 422 태을빌딩 1층
스타벅스 대구상동DT,대구 수성구 무학로 29
스타벅스 대구수성도서관DT점,대구 수성구 화랑로 112
스타벅스 대구도원DT점,대구 달서구 상화로 314
스타벅스 대구동천점,대구 북구 동천로 123
스타벅스 경북대점,대구 북구 대학로 75
스타벅스 대구황금DT,대구 수성구 청수로 164
스타벅스 대구계명대점,"대구 달서구 계대동문로 13 1, 2층"
스타벅스 대구광장점,대구 달서구 달구벌대로 1710
스타벅스 대구상인DT점,대구 달서구 월곡로 334
