name,address
경북대학교 대구캠퍼스,대구 북구 대학로 80
계명대학교 성서캠퍼스,대구 달서구 달구벌대로 1095
대구보건대학교,대구 북구 영송로 15
영진전문대학교 복현캠퍼스,대구 북구 복현로 35
영남이공대학교,대구 남구 현충로 170
계명대학교 대명캠퍼스,대구 남구 명덕로 104
대구공업대학교,대구 달서구 송현로 205
수성대학교,대구 수성구 달구벌대로528길 15
계명문화대학교,대구 달서구 달서대로 675
대구대학교 대명동캠퍼스,대구 남구 대명동 2288
대구과학대학교,대구 북구 영송로 47
대구공업고등학교,대구 동구 대현로 135
대구교육대학교,대구 남구 대명동 1797-6
경북기계공업고등학교,대구 달서구 월배로 275
대구서부공업고등학교,대구 서구 당산로 228
대구보건고등학교,대구 달서구 두류남길 10
대구경북과학기술원,대구 달성군 현풍읍 테크노중앙대로 333
대구달서공업고등학교,대구 달서구 학산남로 50
상서고등학교,대구 달서구 야외음악당로 107
경신고등학교,대구 수성구 달구벌대로504길 34
영남공업고등학교,대구 수성구 교학로 96
경상공업고등학교,대구 남구 대경길 151
한국폴리텍대학 대구캠퍼스,대구 서구 국채보상로43길 15
경북고등학교,대구 수성구 청호로 300
대구동성초등학교,대구 수성구 수성로 311
달성고등학교,대구 서구 달구벌대로 1725
경상여자고등학교,대구 북구 침산남로9길 164
대구고등학교,대구 남구 중앙대로 171
대구농업 마이스터고등학교,대구 수성구 달구벌대로 3170
대구남산초등학교,대구 중구 남산로 70
대륜고등학교,대구 수성구 달구벌대로 2700
대구비산초등학교,대구 서구 통학로 202
경북대학교사범대학 부설고등학교,대구 중구 달구벌대로 2178
제일고등학교,대구 서구 국채보상로 384
대구남양학교,대구 수성구 무학로37안길 6
대구한의대학교 수성캠퍼스,대구 수성구 신천동로 136
새론중학교,대구 동구 이노밸리로 255
계성고등학교,대구 서구 새방로 171
대구고산초등학교,대구 수성구 달구벌대로 3067
청구고등학교,대구 동구 국채보상로 827
대구대명초등학교,대구 남구 대명로 100
대구본리초등학교,대구 달서구 장기로 198
지산중학교,대구 수성구 지산로3길 68
대구산격초등학교,대구 북구 산격로10길 14
대구전자공업고등학교,대구 달서구 용산로 113
한국방송통신대학교 대구경북지역대학,대구 달서구 선원로 21
대건고등학교,대구 달서구 월곡로94길 46
대구서도초등학교,대구 서구 평리로 395
대구동인초등학교,대구 중구 국채보상로 728
경북예술고등학교,대구 남구 중앙대로47길 30
대구상원고등학교,대구 달서구 월배로 241
대구여자고등학교,대구 수성구 달구벌대로488길 17
상원중학교,대구 달서구 상인로 117
대구가톨릭대학교 유스티노캠퍼스,대구 중구 명륜로12길 47
대구수성초등학교,대구 수성구 상화로5길 40
서대구중학교,대구 서구 북비산로45길 7
경북공업고등학교,대구 중구 남산로 20
대구달성초등학교,대구 서구 고성로 127
경북여자고등학교,대구 중구 중앙대로 288
달성중학교,대구 달성군 화원읍 비슬로506길 14
신명여자중학교,대구 수성구 신천동로 364
대구봉덕초등학교,대구 남구 효성로 71
대구침산초등학교,대구 북구 성북로 25
대구성서초등학교,대구 달서구 달구벌대로 1339
대구중앙고등학교,대구 수성구 신천동로 496
대구동부중학교,대구 수성구 화랑로32길 74
대구세천초등학교,대구 달성군 다사읍 세천로 182-9
대구성동초등학교,대구 수성구 청수로45길 27
대구삼덕초등학교,대구 중구 달구벌대로447길 10
대구동원초등학교,대구 수성구 국채보상로 1000
화원고등학교,대구 달성군 화원읍 비슬로 2458
대중금속공업고등학교,대구 북구 관음로 303-12
용산중학교,대구 달서구 와룡로45길 72
대구서부고등학교,대구 서구 국채보상로53길 32
대구가톨릭대학교 루가캠퍼스,대구 남구 두류공원로17길 33
대구명덕초등학교,대구 중구 남산로2길 125
경북대학교사범대학 부설초등학교,대구 중구 달구벌대로 2150
현풍고등학교,대구 달성군 현풍읍 비슬로 675
대구일중학교,대구 북구 옥산로17길 21
덕원고등학교,대구 수성구 욱수길 37
대구동천초등학교,대구 수성구 상록로16길 20
대구신천초등학교,대구 동구 송라로6길 5
대구칠곡초등학교,대구 북구 칠곡중앙대로110길 5
대구과학고등학교,대구 수성구 동대구로 154
대구경동초등학교,대구 수성구 청호로76길 12
대구대덕초등학교,대구 남구 대명서로 28
경상중학교,대구 남구 현충로48길 33
고산중학교,대구 수성구 천을로 71
수성고등학교,대구 수성구 용학로28길 36
원화여자고등학교,대구 달서구 당산로30길 30
대구송현초등학교,대구 달서구 송현로 128
시지고등학교,대구 수성구 신매로 6
대구관광고등학교,대구 동구 동북로71길 37
동문고등학교,대구 수성구 효행로 17
성서중학교,대구 달서구 용산서로 63
효성중학교,대구 달서구 월곡로94길 48
조일고등학교,대구 동구 신덕로 136-11
대구신암초등학교,대구 북구 경대로 21
경일여자고등학교,대구 남구 효성로 37
동도중학교,대구 수성구 청호로 350
성지중학교,대구 달서구 성서동로 361
대평중학교,대구 서구 통학로 217
대구초등학교,대구 중구 명륜로23길 80
대구혜화여자고등학교,대구 수성구 교학로12길 62
대구인지초등학교,대구 서구 서대구로66길 20
대구동도초등학교,대구 수성구 동대구로57길 8
대구중학교,대구 남구 대봉로 120
대구서재초등학교,대구 달성군 다사읍 서재로 100
대구외국어고등학교,대구 달서구 선원로11길 21
대구장기초등학교,대구 달서구 장기로 280
대구세명학교,대구 달서구 새방로 62
신명고등학교,대구 중구 국채보상로102길 48
대구제일여자상업고등학교,대구 달서구 대명천로 120
심인고등학교,대구 남구 현충로39길 29
대구수창초등학교,대구 중구 달성로22길 30
대륜중학교,대구 수성구 달구벌대로 2700
성광고등학교,대구 북구 검단로 150
대구월배초등학교,대구 달서구 월배로 131
대구화원초등학교,대구 달성군 화원읍 비슬로 2580
대구동평초등학교,대구 북구 동천로 84
경북여자상업고등학교,대구 남구 명덕로38길 36
구암중학교,대구 북구 태암로 85
칠곡중학교,대구 북구 칠곡중앙대로 583
대구중앙초등학교,대구 수성구 만촌로 125
구암고등학교,대구 북구 태암남로11길 7
대구진천초등학교,대구 달서구 상화로9길 65
성당중학교,대구 달서구 대명천로 102
대구태전초등학교,대구 북구 칠곡중앙대로75길 16
성화여자고등학교,대구 북구 복현로 140
대구들안길초등학교,대구 수성구 들안로16길 58
덕화중학교,대구 수성구 들안로9길 36
학남고등학교,대구 북구 학남로 78
대구황금초등학교,대구 수성구 들안로32길 22
정화중학교,대구 수성구 청호로84길 123
대구서부초등학교,대구 서구 달서로26길 25
대구성남초등학교,대구 달서구 성당로47길 35
대구칠성초등학교,대구 북구 침산남로32길 17
경덕여자고등학교,대구 서구 국채보상로34길 50
월서중학교,대구 달서구 월배로33길 105
경원고등학교,대구 달서구 새방로 77
대구남도초등학교,대구 남구 현충동길 74
노변중학교,대구 수성구 시지로 66
침산중학교,대구 북구 침산남로 121
대구상인초등학교,대구 달서구 월곡로 211
대구새론초등학교,대구 동구 과학로13길 5
동대구초등학교,대구 동구 신암남로 45
소선여자중학교,대구 수성구 교학로8길 37
계성중학교,대구 중구 달성로 35
영남고등학교,대구 달서구 월곡로 300
대구용지초등학교,대구 수성구 지산로 12
대구동신초등학교,대구 동구 송라로 123
중리중학교,대구 서구 국채보상로34길 63
대구도남초등학교,대구 북구 구리로 202
대구동일초등학교,대구 수성구 들안로 311
경상고등학교,대구 북구 공항로15길 24
대구종로초등학교,대구 중구 경상감영길 49
대구범어초등학교,대구 수성구 달구벌대로489길 55
대구남산고등학교,대구 수성구 신천동로 364
동평중학교,대구 북구 대천로 123
강동중학교,대구 동구 동호로 112
대구대성초등학교,대구 서구 국채보상로 426
