"행정구역","2019년10월_계_총인구수","2019년10월_계_연령구간인구수","2019년10월_계_0~4세","2019년10월_계_5~9세","2019년10월_계_10~14세","2019년10월_계_15~19세","2019년10월_계_20~24세","2019년10월_계_25~29세","2019년10월_계_30~34세","2019년10월_남_총인구수","2019년10월_남_연령구간인구수","2019년10월_남_0~4세","2019년10월_남_5~9세","2019년10월_남_10~14세","2019년10월_남_15~19세","2019년10월_남_20~24세","2019년10월_남_25~29세","2019년10월_남_30~34세","2019년10월_여_총인구수","2019년10월_여_연령구간인구수","2019년10월_여_0~4세","2019년10월_여_5~9세","2019년10월_여_10~14세","2019년10월_여_15~19세","2019년10월_여_20~24세","2019년10월_여_25~29세","2019년10월_여_30~34세"
"서울특별시  (1100000000)","9,736,289","3,674,662","303,501","362,684","371,760","453,961","646,313","812,349","724,094","4,749,055","1,842,726","156,026","186,080","191,481","232,710","313,443","401,748","361,238","4,987,234","1,831,936","147,475","176,604","180,279","221,251","332,870","410,601","362,856"
"서울특별시 종로구 (1111000000)","151,541","53,891","3,587","4,662","5,181","6,711","10,990","12,602","10,158","73,826","26,899","1,791","2,353","2,640","3,364","5,238","6,432","5,081","77,715","26,992","1,796","2,309","2,541","3,347","5,752","6,170","5,077"
"서울특별시 종로구 청운효자동(1111051500)","12,785","4,614","390","515","603","678","803","823","802","5,956","2,333","196","261","313","371","414","387","391","6,829","2,281","194","254","290","307","389","436","411"
"서울특별시 종로구 사직동(1111053000)","9,444","3,274","262","365","365","371","516","718","677","4,234","1,528","135","178","175","169","235","327","309","5,210","1,746","127","187","190","202","281","391","368"
"서울특별시 종로구 삼청동(1111054000)","2,770","854","48","61","105","105","169","184","182","1,331","441","23","28","67","61","85","92","85","1,439","413","25","33","38","44","84","92","97"
"서울특별시 종로구 부암동(1111055000)","10,004","3,485","230","354","439","496","646","746","574","4,764","1,797","109","185","242","266","342","391","262","5,240","1,688","121","169","197","230","304","355","312"
"서울특별시 종로구 평창동(1111056000)","18,701","6,653","518","688","741","1,028","1,340","1,278","1,060","8,758","3,382","262","342","386","537","672","672","511","9,943","3,271","256","346","355","491","668","606","549"
"서울특별시 종로구 무악동(1111057000)","8,719","3,174","308","443","498","547","510","461","407","4,069","1,458","142","195","236","256","238","209","182","4,650","1,716","166","248","262","291","272","252","225"
"서울특별시 종로구 교남동(1111058000)","10,618","3,939","468","461","420","453","587","718","832","4,944","1,881","236","241","209","210","287","322","376","5,674","2,058","232","220","211","243","300","396","456"
"서울특별시 종로구 가회동(1111060000)","4,375","1,326","81","132","165","196","224","252","276","2,026","657","46","62","88","104","114","112","131","2,349","669","35","70","77","92","110","140","145"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,287","1,793","104","108","93","153","359","528","448","4,338","956","58","62","50","63","146","317","260","2,949","837","46","46","43","90","213","211","188"
"서울특별시 종로구 종로5.6가동(1111063000)","5,235","1,811","62","62","90","190","430","581","396","2,871","993","35","28","44","108","221","326","231","2,364","818","27","34","46","82","209","255","165"
"서울특별시 종로구 이화동(1111064000)","7,897","3,253","127","154","204","272","651","1,075","770","3,718","1,540","55","86","93","137","276","544","349","4,179","1,713","72","68","111","135","375","531","421"
"서울특별시 종로구 혜화동(1111065000)","17,055","7,892","271","505","574","876","2,381","2,098","1,187","8,202","3,960","128","238","308","410","1,031","1,203","642","8,853","3,932","143","267","266","466","1,350","895","545"
